,en,ru,pt-br,es-es,de,fr-fr,it,pl,zh-cn,jp,ko,,NOTES – use \n for newline,max length
modmanager_default_preset_name,Unknown,,,,,,,,未知预设,,,,,
modmanager_preset_name_is,Preset Name: ,,,,,,,,预设名称：,,,,,
modmanager_mods,Mods,,,,,,,,模组,,,,,
modmanager_open_workshop_page,Open Workshop Page,,,,,,,,打开创意工坊页面,,,,,
modmanager_refresh_mods,Refresh mods. (Resets unsaved order),,,,,,,,刷新模组列表（未保存的模组加载序列将丢失）,,,,,
modmanager_sort_a_to_z,Sort A to Z,,,,,,,,按字母顺序排列,,,,,
modmanager_sort_z_to_a,Sort Z to A,,,,,,,,按字母倒序排列,,,,,
modmanager_apply_mod_order,Apply mod order.,,,,,,,,应用模组加载序列,,,,,
modmanager_save_preset,Save preset. (Name can not be empty),,,,,,,,保存预设（预设名称不能为空）,,,,,
modmanager_save_preset_with_mod_settings,Save preset with mod settings. (Name can not be empty),,,,,,,,保存包含模组设置的预设（预设名称不能为空）,,,,,
modmanager_copy_preset_code,Copy preset code (Name can not be empty),,,,,,,,复制预设码（预设名称不能为空）,,,,,
modmanager_copy_preset_code_note,"Note: preset codes cannot encode mod settings, share your preset file for that.",,,,,,,,注意：预设码不包含模组设置。如有需要，请用预设文件代替。,,,,,
modmanager_copy_preset_code_with_mod_settings,Copy preset code with mod settings (Name can not be empty),,,,,,,,复制包含模组设置的预设码（预设名称不能为空）,,,,,
modmanager_load_preset_code,Load preset from clipboard.,,,,,,,,从剪贴板加载预设,,,,,
modmanager_refresh_presets,Refresh stored presets.,,,,,,,,刷新预设列表,,,,,
modmanager_open_preset_folder,Open presets folder.,,,,,,,,打开预设文件夹,,,,,
modmanager_presets,Presets,,,,,,,,预设,,,,,
modmanager_preset_remove,[Remove],,,,,,,,[点击删除],,,,,
modmanager_shackled_gui_line1,Please install Unshackle.,,,,,,,,请安装 Unshackle。,,,,,
modmanager_shackled_gui_line2,There is a link to the mod in the workshop description.,,,,,,,,该模组的下载链接可以在创意工坊介绍中找到。,,,,,
modmanager_shackled_gui_line3,This mod manager will not function without it.,,,,,,,,ModManager 无法在未安装 Unshackle 的情况下生效。,,,,,
modmanager_no_unshackle," Unshackle is not installed, please follow the instructions on the mod manager workshop page.",,,,,,,,您还未安装 Unshackle，请按照 ModManager 创意工坊页面的引导进行操作。,,,,,
modmanager_outdated_unshackle,"Unshackle is outdated, please reinstall it.",,,,,,,,您安装的 Unshackle 版本过旧，请重新安装。,,,,,
